Family,LF_Idno,Genus,Specis ,Phyloname,Clade,CH,CB1,CB5,Man,Clad
Antennariidae,89,histrio,histrio,Antennarius_striatus,Euteleosts,2,0.9,0.5,2,C
Batrachoididae,91,opsanus,pardus,Opsanus_pardus,Euteleosts,6,4.5,2.1,6.4,C
Belonidae,88,tylosurus,crocodilus,Tylosurus_crocodilus_crocodilus,Euteleosts,2.4,2.1,1.2,9.5,C
Esocidae,87,esox,lucius,Esox_lucius,Euteleosts,12.3,11.5,4.4,14.5,C
Lophiidae,92,lophins,americanus,Lophius_americanus,Euteleosts,15.5,8.7,6,15.5,C
Ophidiidae,90,brotula,barbata,Brotula_barbata,Euteleosts,5.5,6.5,2.7,6.5,C
Salmodiae,84,-,-,Oncorhynchus_kisutch,Euteleosts,6.8,5.8,3.5,9.5,C
Salmodiae,86,Oncorhynchus,mykiss,Oncorhynchus_mykiss,Euteleosts,6.5,5.5,3.2,9,C
Salmodiae,85,salmo,salar,Salmo_salar,Euteleosts,4,2.2,2,4.8,C
Sebastidae,83,sebastes,norvegicus,Sebastes_norvegicus,Euteleosts,3.5,3,1.7,3.5,C
Triglidae,82,prionotus,rubio,Prionotus_scitulus,Euteleosts,3.6,3,2.4,3.4,C
Triglidae,81,prionotus,tribulus,Prionotus_scitulus,Euteleosts,4.5,2.9,1.9,4.3,C
Ariidae,114,ariopsis,felis,Ariopsis_felis,Otocephala,2.5,2.5,2,3.2,B
Ariidae,119,bagre,marinus,Bagre_marinus,Otocephala,7,6,5,6.5,B
Catostomidae,125,catostomus,commersonii,Catostomus_commersonii,Otocephala,1.7,2.7,2.2,2.2,B
Catostomidae,120,ictiobus,bubalus,Ictiobus_bubalus,Otocephala,1.8,2,1.5,2.2,B
Catostomidae,121,moxostoma,erythrurum,Moxostoma_erythrurum,Otocephala,2.9,2.5,2.5,2,B
Characidae,116,serrasalmus,-,Serrasalmus_elongatus,Otocephala,2.4,2.5,1.2,2.8,B
Clupeidae,122,alosa,sapielissima,Alosa_sapidissima,Otocephala,4.5,4.5,1.7,5.2,B
Clupeidae,118,brevoortia,smithi,Brevoortia_patronus,Otocephala,2.2,2,1.7,2.7,B
Curimatidae,115,pacu,-,Myloplus_planquettei,Otocephala,1.4,1.5,1.5,1.8,B
Cyprinidae,124,aristichthys,nobilis,Hypophthalmichthys_nobilis,Otocephala,6.7,6.5,3.5,5,B
Cyprinidae,123,cyprinus,carpio,Cyprinus_carpio_carpio,Otocephala,3,5.5,5.5,3.7,B
Electrophoridae,129,electrophorus,electricus,Electrophorus_electricus,Otocephala,4,3,2.2,4.5,B
Ictaluridae,128,Ictalurus,nebulosus,Ameiurus_nebulosus,Otocephala,1,0.8,0.4,1.3,B
Ictaluridae,126,pylodictis,olivaris,Pylodictis_olivaris,Otocephala,3.5,2.8,1.8,3.4,B
Ictalurus,127,punctatus,rafinesque,Ictalurus_punctatus,Otocephala,8.5,7,3.5,8.5,B
Loricariidae,117,hypostomus,-,Hypostomus_ancistroides,Otocephala,1.6,1.5,1.4,1.2,B
-,3,tautoga,onitis,Tautoga_onitis,Percamorpha,3,2.5,2.2,2.5,D
Anarhichadidae,4,anarhichas,lupus,Anarhichas_lupus,Percamorpha,6,3.4,2,7,D
Carangidae,62,alectis,ciliaris,Alectis_ciliaris,Percamorpha,5,7,4.3,5.5,D
Carangidae,63,alectis,ciliaris,Alectis_ciliaris,Percamorpha,6.5,9,4,7.3,D
Carangidae,19,carangoides,bartholomaei,Carangoides_bartholomaei,Percamorpha,4.5,5,2.5,4.4,D
