Family,LF_Idno,Genus,Specis ,Phyloname,Clade,CB1,CB5,Man,Clad
-,3,tautoga,onitis,Tautoga_onitis,Percamorpha,2.5,2.2,2.5,D
Anarhichadidae,4,anarhichas,lupus,Anarhichas_lupus,Percamorpha,3.4,2,7,D
Carangidae,62,alectis,ciliaris,Alectis_ciliaris,Percamorpha,7,4.3,5.5,D
Carangidae,63,alectis,ciliaris,Alectis_ciliaris,Percamorpha,9,4,7.3,D
Carangidae,19,carangoides,bartholomaei,Carangoides_bartholomaei,Percamorpha,5,2.5,4.4,D
Carangidae,16,caranx,hippos,Caranx_hippos,Percamorpha,3.7,2,3.3,D
Carangidae,17,caranx,crysos,Caranx_crysos,Percamorpha,3,1.9,3,D
Carangidae,20,caranx,hippos,Caranx_hippos,Percamorpha,12,9.9,11,D
Carangidae,21,elegatis,bipinnulata,Naucrates_ductor,Percamorpha,6,3,5,D
Carangidae,24,selar,Primative,Selar_crumenophthalmus,Percamorpha,3.8,2,3.7,D
Carangidae,18,selene,setapinnis,Selene_setapinnis,Percamorpha,5.5,2.5,4,D
Carangidae,31,selene,vomer,Selene_vomer,Percamorpha,5.5,2.2,3.4,D
Carangidae,60,seriola,dumerili,Seriola_dumerili,Percamorpha,13.8,9.8,17.5,D
Carangidae,22,trachinotus,carolinus,Trachinotus_carolinus,Percamorpha,3,3,3,D
Carangidae,23,trachinotus,lathami,Trachinotus_goodei,Percamorpha,4,2.5,3.5,D
Carangidae,25,trachinotus,falcatus,Trachinotus_falcatus,Percamorpha,8,6,8.3,D
Centrarchidae,76,microptenis,salmoides,Micropterus_salmoides,Percamorpha,7.3,4.8,8.5,D
Cichlidae,40,astronotus,ocellatus,Astronotus_ocellatus,Percamorpha,3.2,2,3.2,D
Coryphaenidae,26,coryphaena,hippurus,Coryphaena_hippurus,Percamorpha,6.5,5,7.7,D
Echeneidae,73,echeneis,naucrates,Echeneis_naucrates,Percamorpha,2.8,2,4.3,D
Echeneidae,72,remora,remora,Remora_remora,Percamorpha,2.8,1.5,3.2,D
Ephippidae,2,chaetodipterus,fabur,Chaetodipterus_faber,Percamorpha,2,1,1.5,D
Ephippidae,8,chaetodipterus,faber,Chaetodipterus_faber,Percamorpha,2,1.7,2.2,D
Gobiidae,28,gobioides,broussonnettii,Ctenogobius_saepepallens,Percamorpha,2.2,1.6,2.4,D
Haemulidae,49,orthopristis,chrysoptera,Orthopristis_chrysoptera,Percamorpha,2,1.7,2.5,D
Kyphosidae,41,kyphosus,sectatrix,Kyphosus_analogus,Percamorpha,2.5,2.2,2.2,D
Kypnosidae,14,kypnosus,sectatrix,Kyphosus_analogus,Percamorpha,3,1.8,2.5,D
Labridae,13,taulogolabrus,adspersus,Tautogolabrus_adspersus,Percamorpha,2,2,3,D
Lobotidae,27,lobotes,surinamensis,Lobotes_pacificus,Percamorpha,5,3,5.6,D
Lutjanidae,45,lutjanus,griseus,Lutjanus_griseus,Percamorpha,5.5,3.8,6.5,D
Lutjanidae,42,lutjanus,vivanus,Lutjanus_vivanus,Percamorpha,6.5,4,6.3,D
Lutjanidae,46,lutjanus,griseus,Lutjanus_griseus,Percamorpha,3,1.8,3.6,D
Lutjanidae,48,lutjanus,synagris,Lutjanus_synagris,Percamorpha,4.5,2.5,4.8,D
Lutjanidae,52,lutjanus,campechanus,Lutjanus_campechanus,Percamorpha,4,3,6.3,D
Lutjanidae,57,ocyurus,chrysurus,Ocyurus_chrysurus,Percamorpha,5,3.5,5.5,D
Lutjanidae,58,rhomboplites,aurorubens,Rhomboplites_aurorubens,Percamorpha,4,2.8,4.5,D
Moronidae,77,morone,americana,Morone_americana,Percamorpha,2,1.1,2.3,D
Moronidae,78,morone,saxatilis,Morone_saxatilis,Percamorpha,6.3,3.8,7.1,D
Percidae,79,perca,flavescens,Perca_flavescens,Percamorpha,2.6,1.4,3,D
Percidae,80,sander,-,Sander_vitreus,Percamorpha,4,2.8,7,D
Potnatomidae,64,pomatomus,saltatris,Pomatomus_saltatrix,Percamorpha,5.8,3,6,D
Priacanthidae,65,priacanthus,arenatus,Priacanthus_arenatus,Percamorpha,4.5,2.6,5,D
Rachcentridae,74,rachycentron,canadum,Rachycentron_canadum,Percamorpha,11,6.7,12,D
Rachcentridae,75,rachycentron,canadum,Rachycentron_canadum,Percamorpha,9,5,11.5,D
Sciaenidae,37,cynoscion,nebulosus,Cynoscion_nebulosus,Percamorpha,5,3.8,7.5,D
Sciaenidae,47,cynoscion,nebulosus,Cynoscion_nebulosus,Percamorpha,2.7,1.8,4,D
Sciaenidae,51,cynoscion,arenarius,Cynoscion_arenarius,Percamorpha,3.6,2,5,D
Sciaenidae,34,leiostomus,xanthurus,Leiostomus_xanthurus,Percamorpha,2.2,1.5,2,D
Sciaenidae,36,menticirrhus,americanus,Menticirrhus_americanus,Percamorpha,1.7,1.5,2.2,D
Sciaenidae,32,micropogonias,undulatus,Micropogonias_undulatus,Percamorpha,1.8,1.4,2,D
Sciaenidae,35,pareques,umbrosus,,Percamorpha,1.8,1,2.2,D
Sciaenidae,33,pogonias,crondis,Pogonias_cromis,Percamorpha,2.5,2.5,2.8,D
Scombridae,12,euthynnus,alletteratus,Euthynnus_alletteratus,Percamorpha,7.5,6,7.4,D
Scombridae,10,sarda,sarda,Sarda_sarda,Percamorpha,6.5,3.5,7.5,D
Scombridae,11,scomber,scombrus,Scomber_scombrus,Percamorpha,3.5,2.5,4,D
Scombridae,9,scomberomorus,cavalla,Scomberomorus_cavalla,Percamorpha,8.5,3.7,8.2,D
Scombridae,59,thunnus,atlanticus,Thunnus_atlanticus,Percamorpha,10,6.5,10,D
Scrombridae,53,-,-,Thunnus_obesus,Percamorpha,6.5,4.2,7,D
Scrombridae,55,acanthocybium,solandri,Acanthocybium_solandri,Percamorpha,10.7,5.7,12.8,D
Scrombridae,61,thunnus,albacares,Thunnus_albacares,Percamorpha,13.5,8.5,12.5,D
Serranidae,69,epinephelus,adscensionis,Epinephelus_adscensionis,Percamorpha,5,3,7.5,D
Serranidae,71,epinephelus,niveatus,Hyporthodus_niveatus,Percamorpha,5.8,3.7,7,D
Serranidae,68,hyporthodus,nigritus,Hyporthodus_nigritus,Percamorpha,8.9,4.1,10.2,D
Serranidae,70,mycteroperca,bonaci,Mycteroperca_bonaci,Percamorpha,7.3,4.4,8.5,D
Serranidae,66,rypticus,saponaceus,Rypticus_saponaceus,Percamorpha,1.7,0.8,2.5,D
Serranidae,67,rypticus,maculatus,Rypticus_nigripinnis,Percamorpha,1.9,0.7,2.4,D
Sparidae,29,archosargus,probatocephalus,Archosargus_probatocephalus,Percamorpha,3,3,3.5,D
Sparidae,50,calamus,leucosteus,Calamus_calamus,Percamorpha,2.2,1.3,3.4,D
Sparidae,30,diplodus,holbrookii,Diplodus_holbrookii,Percamorpha,1.5,1.3,1.5,D
Sparidae,39,lagodon,rhomboides,Lagodon_rhomboides,Percamorpha,1,1.1,1.3,D
Sparidae,44,lagodon,rhomboides,Lagodon_rhomboides,Percamorpha,2.1,1.8,2.8,D
Sparidae,38,pagrus,pagrus,Pagrus_pagrus,Percamorpha,2.6,2.2,3.8,D
Sparidae,43,stenotomus,chrysops,Stenotomus_chrysops,Percamorpha,1.8,1.5,3.3,D
Sphyraenidae,1,sphyraena,guachancho,Sphyraena_guachancho,Percamorpha,4.4,1.7,6.4,D
Sphyraenidae,56,sphyraena,barracuda,Sphyraena_barracuda,Percamorpha,14,7.5,20.5,D
Stromateidae,5,peprilus,alepidotus,Peprilus_simillimus,Percamorpha,1.5,0.4,1,D
Trichiuridae,6,trichiurus,lepturus,Trichiurus_lepturus,Percamorpha,3.9,1.3,4.2,D
Trichiuridae,7,trichiurus,-,Trichiurus_brevis,Percamorpha,6.8,3,8,D
Uranscopidae ,15,atroscopus,v-graecum,Kathetostoma_canaster,Percamorpha,2.5,2,3.8,D
Zoarcidae,54,macrozoarces,americanus,Zoarces_americanus,Percamorpha,1.5,2,3.5,D
